    • 1  | Hey                            | Guitar Hero 1   
    • 1  | I Love Rock 'n' Roll           | Guitar Hero 1   
    • 1  | Stellar                        | Guitar Hero 1   
    • 1  | Behind The Mask                | Guitar Hero 1   
    • 1  | I Wanna Be Sedated             | Guitar Hero 1   
    • 1  | Sail Your Ship By              | Guitar Hero 1   
    • 1  | Eureka! I Found Love           | Guitar Hero 1   
    • 1  | The Story Of My Love           | Guitar Hero 1   
    • 1  | Unsung                         | Guitar Hero 1   
    • 1  | Killer Queen                   | Guitar Hero 1   
    • 2  | Fat Lip                        | Guitar Hero 1   
    • 2  | Call Out                       | Guitar Hero 1   
    • 2  | Even Rats                      | Guitar Hero 1   
    • 2  | Hey You                        | Guitar Hero 1   
    • 2  | More Than A Feeling            | Guitar Hero 1   
    • 3  | Higher Ground                  | Guitar Hero 1   
    • 3  | Take Me Out                    | Guitar Hero 1   
    • 3  | Sharp Dressed Man              | Guitar Hero 1   
    • 3  | Heart Full of Black            | Guitar Hero 1   
    • 4  | Caveman Rejoice                | Guitar Hero 1   
    • 4  | Graveyard Shift                | Guitar Hero 1   
    • 4  | Farewell Myth                  | Guitar Hero 1   
    • 4  | Cochise                        | Guitar Hero 1   
    • 4  | Infected                       | Guitar Hero 1   
    • 5  | Iron Man                       | Guitar Hero 1   
    • 5  | The Breaking Wheel             | Guitar Hero 1   
    • 5  | Smoke On The Water             | Guitar Hero 1   
    • 5  | Ace Of Spades                  | Guitar Hero 1   
    • 5  | Theme from Guitar Hero         | Guitar Hero 1   
    • 6  | No One Knows                   | Guitar Hero 1   
    • 6  | Take It Off                    | Guitar Hero 1   
    • 6  | Thunder Kiss 65                | Guitar Hero 1   
    • 6  | Ziggy Stardust                 | Guitar Hero 1   
    • 6  | Godzilla                       | Guitar Hero 1   
    • 7  | Crossroads                     | Guitar Hero 1   
    • 7  | All of This                    | Guitar Hero 1   
    • 7  | You've Got Another Thing Comin | Guitar Hero 1   
    • 7  | Fly On The Wall                | Guitar Hero 1   
    • 7  | Cheat on the Church            | Guitar Hero 1   
    • 8  | Spanish Castle Magic           | Guitar Hero 1   
    • 8  | Symphony Of Destruction        | Guitar Hero 1   
    • 8  | Frankenstein                   | Guitar Hero 1   
    • 8  | Cowboys From Hell              | Guitar Hero 1   
    • 9  | Texas Flood                    | Guitar Hero 1   
    • 9  | Decontrol                      | Guitar Hero 1   
    • 9  | Trippolette                    | Guitar Hero 1   
    • 10 | Get Ready 2 Rokk               | Guitar Hero 1   
    • 10 | Fire It Up                     | Guitar Hero 1   
    • 10 | Bark At The Moon               | Guitar Hero 1   
