    • 1  | Heart Shaped Box                    | Guitar Hero 2   
    • 1  | Mr. Fix-It                          | Guitar Hero 2   
    • 1  | Parasite                            | Guitar Hero 2   
    • 1  | Radium Eyes                         | Guitar Hero 2   
    • 1  | Soy Bomb                            | Guitar Hero 2   
    • 1  | Can't You Hear Me Knocking          | Guitar Hero 2   
    • 1  | The X-Stream                        | Guitar Hero 2   
    • 1  | Surrender                           | Guitar Hero 2   
    • 1  | Yes We Can                          | Guitar Hero 2   
    • 1  | Monkey Wrench                       | Guitar Hero 2   
    • 1  | Red Lottery                         | Guitar Hero 2   
    • 1  | Laughtrack                          | Guitar Hero 2   
    • 1  | John The Fisherman                  | Guitar Hero 2   
    • 2  | Cherry Pie                          | Guitar Hero 2   
    • 2  | Message In A Bottle                 | Guitar Hero 2   
    • 2  | The New Black                       | Guitar Hero 2   
    • 2  | Strutter                            | Guitar Hero 2   
    • 2  | Elephant Bones                      | Guitar Hero 2   
    • 2  | Trippin' On A Hole In A Paper Heart | Guitar Hero 2   
    • 3  | Collide                             | Guitar Hero 2   
    • 3  | Shout at the Devil                  | Guitar Hero 2   
    • 3  | Last Child                          | Guitar Hero 2   
    • 3  | Girlfriend                          | Guitar Hero 2   
    • 3  | Who Was In My Room Last Night       | Guitar Hero 2   
    • 3  | Tattooed Love Boys                  | Guitar Hero 2   
    • 4  | Tonight I'm Gonna Rock You Tonight  | Guitar Hero 2   
    • 4  | Jessica                             | Guitar Hero 2   
    • 4  | Less Talk More Rokk                 | Guitar Hero 2   
    • 4  | Woman                               | Guitar Hero 2   
    • 4  | Laid To Rest                        | Guitar Hero 2   
    • 4  | Madhouse                            | Guitar Hero 2   
    • 4  | Raw Dog                             | Guitar Hero 2   
    • 5  | Carry On Wayward Son                | Guitar Hero 2   
    • 5  | Killing In The Name                 | Guitar Hero 2   
    • 5  | One For The Road                    | Guitar Hero 2   
    • 5  | Rock This Town                      | Guitar Hero 2   
    • 5  | YYZ                                 | Guitar Hero 2   
    • 5  | Stop!                               | Guitar Hero 2   
    • 6  | Crazy on You                        | Guitar Hero 2   
    • 6  | Thunderhorse                        | Guitar Hero 2   
    • 6  | FTK                                 | Guitar Hero 2   
    • 6  | War Pigs                            | Guitar Hero 2   
    • 6  | Sweet Child O' Mine                 | Guitar Hero 2   
    • 6  | Mother                              | Guitar Hero 2   
    • 7  | Freya                               | Guitar Hero 2   
    • 7  | Push Push (Lady Lightning)          | Guitar Hero 2   
    • 7  | You Really Got Me                   | Guitar Hero 2   
    • 7  | Them Bones                          | Guitar Hero 2   
    • 7  | Search and Destroy                  | Guitar Hero 2   
    • 7  | Arterial Black                      | Guitar Hero 2   
    • 7  | Bad Reputation                      | Guitar Hero 2   
    • 8  | Carry Me Home                       | Guitar Hero 2   
    • 8  | Fall Of Pangea                      | Guitar Hero 2   
    • 8  | Psychobilly Freakout                | Guitar Hero 2   
    • 8  | Gemini                              | Guitar Hero 2   
    • 8  | Free Bird                           | Guitar Hero 2   
    • 8  | The Light That Blinds               | Guitar Hero 2   
    • 9  | Institutionalized                   | Guitar Hero 2   
    • 9  | Six                                 | Guitar Hero 2   
    • 9  | Misirlou                            | Guitar Hero 2   
    • 9  | Hangar 18                           | Guitar Hero 2   
    • 10 | Beast And The Harlot                | Guitar Hero 2   
    • 10 | Trogdor                             | Guitar Hero 2   
    • 10 | Jordan                              | Guitar Hero 2   
