    • 1  | Closer                           | Guitar Hero 3   
    • 1  | Metal Heavy Lady                 | Guitar Hero 3   
    • 1  | Sabotage                         | Guitar Hero 3   
    • 1  | Generation Rock                  | Guitar Hero 3   
    • 1  | When You Were Young              | Guitar Hero 3   
    • 1  | Radio Song                       | Guitar Hero 3   
    • 1  | Mississippi Queen                | Guitar Hero 3   
    • 1  | Slow Ride                        | Guitar Hero 3   
    • 1  | Ruby                             | Guitar Hero 3   
    • 1  | My Name is Jonas                 | Guitar Hero 3   
    • 1  | Bulls On Parade                  | Guitar Hero 3   
    • 1  | Story Of My Life                 | Guitar Hero 3   
    • 1  | Lay Down                         | Guitar Hero 3   
    • 1  | Can't Be Saved                   | Guitar Hero 3   
    • 2  | Talk Dirty To Me                 | Guitar Hero 3   
    • 2  | Reptilia                         | Guitar Hero 3   
    • 2  | Anarchy In The UK                | Guitar Hero 3   
    • 2  | Miss Murder                      | Guitar Hero 3   
    • 2  | Sunshine Of Your Love            | Guitar Hero 3   
    • 2  | She Bangs The Drums              | Guitar Hero 3   
    • 2  | School's Out                     | Guitar Hero 3   
    • 3  | Paint It Black                   | Guitar Hero 3   
    • 3  | Hit Me With Your Best Shot       | Guitar Hero 3   
    • 3  | Paranoid                         | Guitar Hero 3   
    • 3  | Even Flow                        | Guitar Hero 3   
    • 3  | Minus Celsius                    | Guitar Hero 3   
    • 3  | Barracuda                        | Guitar Hero 3   
    • 3  | Hier Kommt Alex                  | Guitar Hero 3   
    • 4  | Avalancha                        | Guitar Hero 3   
    • 4  | Prayer Of The Refugee            | Guitar Hero 3   
    • 4  | Go That Far                      | Guitar Hero 3   
    • 4  | In Love                          | Guitar Hero 3   
    • 4  | The Metal                        | Guitar Hero 3   
    • 4  | La Grange                        | Guitar Hero 3   
    • 4  | Cities On Flame With Rock & Roll | Guitar Hero 3   
    • 5  | Helicopter                       | Guitar Hero 3   
    • 5  | 3's & 7's                        | Guitar Hero 3   
    • 5  | Kool Thing                       | Guitar Hero 3   
    • 5  | Mauvais Garcon                   | Guitar Hero 3   
    • 5  | The Seeker                       | Guitar Hero 3   
    • 5  | Same Old Song & Dance            | Guitar Hero 3   
    • 5  | Cherub Rock                      | Guitar Hero 3   
    • 6  | Welcome To The Jungle            | Guitar Hero 3   
    • 6  | In The Belly Of A Shark          | Guitar Hero 3   
    • 6  | Rock & Roll All Nite             | Guitar Hero 3   
    • 6  | My Curse                         | Guitar Hero 3   
    • 6  | Suck My Kiss                     | Guitar Hero 3   
    • 6  | Pride & Joy                      | Guitar Hero 3   
    • 7  | I'm In The Band                  | Guitar Hero 3   
    • 7  | Monsters                         | Guitar Hero 3   
    • 7  | Down N' Dirty                    | Guitar Hero 3   
    • 7  | Before I Forget                  | Guitar Hero 3   
    • 7  | Stricken                         | Guitar Hero 3   
    • 7  | Black Magic Woman                | Guitar Hero 3   
    • 7  | Black Sunshine                   | Guitar Hero 3   
    • 8  | Impulse                          | Guitar Hero 3   
    • 8  | Rock You Like A Hurricane        | Guitar Hero 3   
    • 8  | Cliffs Of Dover                  | Guitar Hero 3   
    • 8  | Don't Hold Back                  | Guitar Hero 3   
    • 8  | Nothing For Me Here              | Guitar Hero 3   
    • 8  | Cult Of Personality              | Guitar Hero 3   
    • 8  | Knights Of Cydonia               | Guitar Hero 3   
    • 9  | Holiday In Cambodia              | Guitar Hero 3   
    • 9  | The Number Of The Beast          | Guitar Hero 3   
    • 9  | Take This Life                   | Guitar Hero 3   
    • 9  | F.C.P.R.E.M.I.X                  | Guitar Hero 3   
    • 10 | The Way It Ends                  | Guitar Hero 3   
    • 10 | Raining Blood                    | Guitar Hero 3   
    • 10 | One                              | Guitar Hero 3   
    • 10 | Through The Fire & Flames        | Guitar Hero 3   
