    • 1  | They Say                                | Guitar Hero 5   
    • 1  | All Along The Watchtower                | Guitar Hero 5   
    • 1  | In My Place                             | Guitar Hero 5   
    • 1  | Song 2                                  | Guitar Hero 5   
    • 1  | Gamma Ray                               | Guitar Hero 5   
    • 1  | Ring Of Fire                            | Guitar Hero 5   
    • 1  | Lithium (Live)                          | Guitar Hero 5   
    • 1  | Cigarettes, Wedding Bands               | Guitar Hero 5   
    • 1  | Hurts So Good                           | Guitar Hero 5   
    • 1  | Why Bother                              | Guitar Hero 5   
    • 1  | Only Happy When It Rains                | Guitar Hero 5   
    • 1  | Sowing Season (Yeah)                    | Guitar Hero 5   
    • 1  | Under Pressure                          | Guitar Hero 5   
    • 1  | Plug In Baby                            | Guitar Hero 5   
    • 1  | Sex On Fire                             | Guitar Hero 5   
    • 1  | Feel Good Inc                           | Guitar Hero 5   
    • 1  | You & Me                                | Guitar Hero 5   
    • 2  | Ex-Girlfriend                           | Guitar Hero 5   
    • 2  | Shout It Out Loud                       | Guitar Hero 5   
    • 2  | Comedown                                | Guitar Hero 5   
    • 2  | Never Miss A Beat                       | Guitar Hero 5   
    • 2  | Hungry Like The Wolf                    | Guitar Hero 5   
    • 2  | A-Punk                                  | Guitar Hero 5   
    • 2  | Steady As She Goes                      | Guitar Hero 5   
    • 2  | All the Pretty Faces                    | Guitar Hero 5   
    • 3  | Fame                                    | Guitar Hero 5   
    • 3  | L.A                                     | Guitar Hero 5   
    • 3  | Incinerate                              | Guitar Hero 5   
    • 3  | Bullet With Butterfly Wings             | Guitar Hero 5   
    • 3  | Smells Like Teen Spirit                 | Guitar Hero 5   
    • 3  | Kryptonite                              | Guitar Hero 5   
    • 3  | Make It Wit Chu                         | Guitar Hero 5   
    • 3  | In the Meantime                         | Guitar Hero 5   
    • 3  | Bleed American                          | Guitar Hero 5   
    • 4  | Blue Day                                | Guitar Hero 5   
    • 4  | Blue Orchid                             | Guitar Hero 5   
    • 4  | The Rock Show                           | Guitar Hero 5   
    • 4  | Seven                                   | Guitar Hero 5   
    • 4  | Send a Little Love Token                | Guitar Hero 5   
    • 4  | Six Days a Week                         | Guitar Hero 5   
    • 4  | What I Got                              | Guitar Hero 5   
    • 4  | Wannabe In L.A                          | Guitar Hero 5   
    • 5  | Jailbreak                               | Guitar Hero 5   
    • 5  | Judith                                  | Guitar Hero 5   
    • 5  | Streamline Woman                        | Guitar Hero 5   
    • 5  | Lonely is the Night                     | Guitar Hero 5   
    • 5  | Du Hast                                 | Guitar Hero 5   
    • 5  | So Lonely                               | Guitar Hero 5   
    • 5  | Maiden, Mother & Crone                  | Guitar Hero 5   
    • 5  | Woman From Tokyo ('99 Remix)            | Guitar Hero 5   
    • 6  | Back Round                              | Guitar Hero 5   
    • 6  | Nearly Lost You                         | Guitar Hero 5   
    • 6  | Sneak Out                               | Guitar Hero 5   
    • 6  | Looks That Kill                         | Guitar Hero 5   
    • 6  | 20th Century Boy                        | Guitar Hero 5   
    • 6  | Play That Funky Music                   | Guitar Hero 5   
    • 6  | Sympathy for the Devil                  | Guitar Hero 5   
    • 6  | Disconnected                            | Guitar Hero 5   
    • 6  | We're an American Band                  | Guitar Hero 5   
    • 7  | Dancing With Myself                     | Guitar Hero 5   
    • 7  | Brianstorm                              | Guitar Hero 5   
    • 7  | Gratitude                               | Guitar Hero 5   
    • 7  | Mirror People                           | Guitar Hero 5   
    • 7  | One Big Holiday                         | Guitar Hero 5   
    • 7  | Sweating Bullets                        | Guitar Hero 5   
    • 7  | Sultans of Swing                        | Guitar Hero 5   
    • 7  | Medicate                                | Guitar Hero 5   
    • 8  | Deadbolt                                | Guitar Hero 5   
    • 8  | 2 Minutes to Midnight                   | Guitar Hero 5   
    • 8  | Runnin' Down A Dream                    | Guitar Hero 5   
    • 8  | Superstition                            | Guitar Hero 5   
    • 8  | Saturday Night's Alright (For Fighting) | Guitar Hero 5   
    • 8  | Wolf Like Me                            | Guitar Hero 5   
    • 8  | Bring The Noise 20XX                    | Guitar Hero 5   
    • 8  | You Give Love A Bad Name                | Guitar Hero 5   
    • 8  | Lust For Life (Live)                    | Guitar Hero 5   
    • 9  | Younk Funk                              | Guitar Hero 5   
    • 9  | The Spirit Of Radio (Live)              | Guitar Hero 5   
    • 9  | American Girl                           | Guitar Hero 5   
    • 9  | No One To Depend On (Live)              | Guitar Hero 5   
    • 9  | Do You Feel Like We Do (Live)           | Guitar Hero 5   
    • 10 | Demon                                   | Guitar Hero 5   
    • 10 | Done With Everything, Die For Nothing   | Guitar Hero 5   
    • 10 | Scatterbrain (Live)                     | Guitar Hero 5   
    • 10 | 21st Century Schizoid Man               | Guitar Hero 5   
