    • 1  | 2112 Pt. 5 - Oracle The Dream        | Guitar Hero 6   
    • 1  | How You Remind Me                    | Guitar Hero 6   
    • 1  | Seven Nation Army                    | Guitar Hero 6   
    • 1  | Bleed It Out                         | Guitar Hero 6   
    • 1  | Again                                | Guitar Hero 6   
    • 1  | 2112 Pt. 2 - The Temples of Syrinx   | Guitar Hero 6   
    • 1  | Lasso                                | Guitar Hero 6   
    • 1  | Fortunate Son                        | Guitar Hero 6   
    • 1  | Losing my Religion                   | Guitar Hero 6   
    • 1  | Listen to Her Heart                  | Guitar Hero 6   
    • 1  | Get Free                             | Guitar Hero 6   
    • 1  | Interstate Love Song                 | Guitar Hero 6   
    • 1  | Motivation                           | Guitar Hero 6   
    • 1  | Lunatic Fringe                       | Guitar Hero 6   
    • 1  | No More Mr. Nice Guy                 | Guitar Hero 6   
    • 1  | Fascination Street                   | Guitar Hero 6   
    • 1  | 2112 Pt. 6 - Soliloquy               | Guitar Hero 6   
    • 1  | I Know What I Am                     | Guitar Hero 6   
    • 2  | Cherry Bomb                          | Guitar Hero 6   
    • 2  | Waidmanns Heil                       | Guitar Hero 6   
    • 2  | We're Not Gonna Take it              | Guitar Hero 6   
    • 2  | What Do I Get                        | Guitar Hero 6   
    • 2  | Theme from Spiderman                 | Guitar Hero 6   
    • 2  | Machinehead                          | Guitar Hero 6   
    • 2  | Uprising                             | Guitar Hero 6   
    • 2  | I'm Not Okay (I Promise)             | Guitar Hero 6   
    • 2  | Rockin' in the Free World            | Guitar Hero 6   
    • 2  | Bohemian Rhapsody                    | Guitar Hero 6   
    • 3  | Self Esteem                          | Guitar Hero 6   
    • 3  | Black Rain                           | Guitar Hero 6   
    • 3  | No Way Back                          | Guitar Hero 6   
    • 3  | Stray Cat Blues                      | Guitar Hero 6   
    • 3  | The Feel Good Drag                   | Guitar Hero 6   
    • 3  | Graduate                             | Guitar Hero 6   
    • 3  | Love Gun                             | Guitar Hero 6   
    • 3  | 2112 Pt. 3 - Discovery               | Guitar Hero 6   
    • 3  | Money for Nothing                    | Guitar Hero 6   
    • 4  | Bodies                               | Guitar Hero 6   
    • 4  | The Outsider                         | Guitar Hero 6   
    • 4  | Feels Like the First Time            | Guitar Hero 6   
    • 4  | Children of the Grave                | Guitar Hero 6   
    • 4  | Wish                                 | Guitar Hero 6   
    • 4  | Aqualung                             | Guitar Hero 6   
    • 4  | Jet City Woman                       | Guitar Hero 6   
    • 4  | Sharp Dressed Man (Live)             | Guitar Hero 6   
    • 4  | Dance, Dance                         | Guitar Hero 6   
    • 5  | Savior                               | Guitar Hero 6   
    • 5  | Scumbag Blues                        | Guitar Hero 6   
    • 5  | 2112 Pt. 1 - Overture                | Guitar Hero 6   
    • 5  | Ghost                                | Guitar Hero 6   
    • 5  | Hard to See                          | Guitar Hero 6   
    • 5  | Cryin'                               | Guitar Hero 6   
    • 5  | Free Ride                            | Guitar Hero 6   
    • 5  | Re-Ignition (Live)                   | Guitar Hero 6   
    • 5  | Burnin' for You                      | Guitar Hero 6   
    • 6  | Slow Hands                           | Guitar Hero 6   
    • 6  | I'm Broken                           | Guitar Hero 6   
    • 6  | Paranoid (Live)                      | Guitar Hero 6   
    • 6  | 2112 Pt. 7 - Grand Finale            | Guitar Hero 6   
    • 6  | Renegade                             | Guitar Hero 6   
    • 6  | It's Only Another Parsec             | Guitar Hero 6   
    • 6  | Pour Some Sugar On Me (Live)         | Guitar Hero 6   
    • 6  | Tick Tick Boom                       | Guitar Hero 6   
    • 6  | Suffocated                           | Guitar Hero 6   
    • 7  | 2112 Pt. 4 - Presentation            | Guitar Hero 6   
    • 7  | Dancing Through Sunday               | Guitar Hero 6   
    • 7  | Bat Country                          | Guitar Hero 6   
    • 7  | There's No Secrets This Year         | Guitar Hero 6   
    • 7  | Unskinny Bop                         | Guitar Hero 6   
    • 7  | Been Caught Stealing                 | Guitar Hero 6   
    • 7  | Tones of Home                        | Guitar Hero 6   
    • 7  | Bloodlines                           | Guitar Hero 6   
    • 7  | Psychosocial                         | Guitar Hero 6   
    • 7  | Deadfall                             | Guitar Hero 6   
    • 8  | Move It On Over (Live)               | Guitar Hero 6   
    • 8  | Modern Day Cowboy                    | Guitar Hero 6   
    • 8  | Calling                              | Guitar Hero 6   
    • 8  | Indians                              | Guitar Hero 6   
    • 8  | Ravenous                             | Guitar Hero 6   
    • 8  | Nemesis                              | Guitar Hero 6   
    • 8  | Call Me the Breeze (Live)            | Guitar Hero 6   
    • 8  | Burn                                 | Guitar Hero 6   
    • 8  | Holy Wars... The Punishment Due      | Guitar Hero 6   
    • 9  | (You Can Still) Rock in America      | Guitar Hero 6   
    • 9  | Setting Fire to Sleeping Giants      | Guitar Hero 6   
    • 9  | If You Want Peace... Prepare for War | Guitar Hero 6   
    • 9  | Ties That Bind                       | Guitar Hero 6   
    • 9  | Speeding (Vault Version)             | Guitar Hero 6   
    • 10 | This Day We Fight!                   | Guitar Hero 6   
    • 10 | Sudden Death                         | Guitar Hero 6   
    • 10 | Black Widow of La Porte              | Guitar Hero 6   
    • 10 | Chemical Warfare                     | Guitar Hero 6   
    • 10 | Fury of the Storm                    | Guitar Hero 6   
