    • 1  | We Got The Beat               | Guitar Hero: 80s
    • 1  | The Warrior                   | Guitar Hero: 80s
    • 1  | Shakin'                       | Guitar Hero: 80s
    • 1  | Turning Japanese              | Guitar Hero: 80s
    • 1  | Only A Lad                    | Guitar Hero: 80s
    • 1  | Balls To The Wall             | Guitar Hero: 80s
    • 2  | Lonely Is The Night           | Guitar Hero: 80s
    • 2  | I Ran (So Far Away)           | Guitar Hero: 80s
    • 2  | Heat Of The Moment            | Guitar Hero: 80s
    • 3  | Los Angeles                   | Guitar Hero: 80s
    • 3  | Bathroom Wall                 | Guitar Hero: 80s
    • 3  | 18 And Life                   | Guitar Hero: 80s
    • 4  | Police Truck                  | Guitar Hero: 80s
    • 4  | What I Like About You         | Guitar Hero: 80s
    • 4  | Hold On Loosely               | Guitar Hero: 80s
    • 5  | Wrathchild                    | Guitar Hero: 80s
    • 5  | Synchronicity II              | Guitar Hero: 80s
    • 5  | Holy Diver                    | Guitar Hero: 80s
    • 6  | (Bang Your Head) Metal Health | Guitar Hero: 80s
    • 6  | Radar Love                    | Guitar Hero: 80s
    • 6  | Nothin' But A Good Time       | Guitar Hero: 80s
    • 7  | Caught In A Mosh              | Guitar Hero: 80s
    • 7  | No One Like You               | Guitar Hero: 80s
    • 7  | I Wanna Rock                  | Guitar Hero: 80s
    • 8  | Seventeen                     | Guitar Hero: 80s
    • 8  | Round And Round               | Guitar Hero: 80s
    • 9  | Electric Eye                  | Guitar Hero: 80s
    • 9  | Play With Me                  | Guitar Hero: 80s
    • 10 | Because, It's Midnite         | Guitar Hero: 80s
    • 10 | Ballroom Blitz                | Guitar Hero: 80s
