    • 1  | Dream Police                 | Guitar Hero: A  
    • 1  | Dream On                     | Guitar Hero: A  
    • 1  | She Sells Sanctuary          | Guitar Hero: A  
    • 1  | Draw The Line                | Guitar Hero: A  
    • 1  | Complete Control             | Guitar Hero: A  
    • 1  | Sex Type Thing               | Guitar Hero: A  
    • 1  | Make It                      | Guitar Hero: A  
    • 1  | Uncle Salty                  | Guitar Hero: A  
    • 2  | All The Young Dudes          | Guitar Hero: A  
    • 2  | Pink                         | Guitar Hero: A  
    • 2  | No Suprize                   | Guitar Hero: A  
    • 2  | Personality Crisis           | Guitar Hero: A  
    • 3  | Kings And Queens             | Guitar Hero: A  
    • 3  | Talk Talkin'                 | Guitar Hero: A  
    • 3  | Rag Doll                     | Guitar Hero: A  
    • 3  | I Hate Myself For Loving You | Guitar Hero: A  
    • 4  | Pandora's Box                | Guitar Hero: A  
    • 4  | Movin' Out                   | Guitar Hero: A  
    • 4  | Livin' On The Edge           | Guitar Hero: A  
    • 4  | Hard to Handle               | Guitar Hero: A  
    • 5  | All Day And All Of The Night | Guitar Hero: A  
    • 5  | Cat Scratch Fever            | Guitar Hero: A  
    • 5  | Mama Kin                     | Guitar Hero: A  
    • 5  | Bright Light Fright          | Guitar Hero: A  
    • 6  | Sweet Emotion                | Guitar Hero: A  
    • 6  | King of Rock                 | Guitar Hero: A  
    • 6  | Always On The Run            | Guitar Hero: A  
    • 6  | Toys In The Attic            | Guitar Hero: A  
    • 7  | Let The Music Do The Talking | Guitar Hero: A  
    • 7  | Nobody's Fault               | Guitar Hero: A  
    • 7  | Shakin' My Cage              | Guitar Hero: A  
    • 7  | Love In An Elevator          | Guitar Hero: A  
    • 8  | Rats In The Cellar           | Guitar Hero: A  
    • 8  | Walk This Way (Run-D.M.C.)   | Guitar Hero: A  
    • 8  | Combination                  | Guitar Hero: A  
    • 8  | Beyond Beautiful             | Guitar Hero: A  
    • 9  | Walk This Way                | Guitar Hero: A  
    • 9  | Mercy                        | Guitar Hero: A  
    • 9  | Guitar Battle vs. Joe Perry  | Guitar Hero: A  
    • 10 | Back In The Saddle           | Guitar Hero: A  
    • 10 | Train Kept a Rollin'         | Guitar Hero: A  
