    • 1  | Nothing Else Matters          | Guitar Hero: M  
    • 1  | Turn the Page (Live)          | Guitar Hero: M  
    • 1  | Mother Of Mercy               | Guitar Hero: M  
    • 1  | For Whom The Bell Tolls       | Guitar Hero: M  
    • 1  | The Unforgiven                | Guitar Hero: M  
    • 1  | No Excuses                    | Guitar Hero: M  
    • 1  | Stacked Actors                | Guitar Hero: M  
    • 1  | The Memory Remains            | Guitar Hero: M  
    • 1  | King Nothing                  | Guitar Hero: M  
    • 1  | The Boys Are Back In Town     | Guitar Hero: M  
    • 2  | Toxicity                      | Guitar Hero: M  
    • 2  | Demon Cleaner                 | Guitar Hero: M  
    • 2  | No Leaf Clover                | Guitar Hero: M  
    • 2  | Enter Sandman                 | Guitar Hero: M  
    • 2  | Stone Cold Crazy              | Guitar Hero: M  
    • 3  | Tuesday's Gone                | Guitar Hero: M  
    • 3  | Fuel                          | Guitar Hero: M  
    • 3  | Albatross                     | Guitar Hero: M  
    • 3  | Mommy's Little Monster (Live) | Guitar Hero: M  
    • 4  | Blood And Thunder             | Guitar Hero: M  
    • 4  | Hell Bent For Leather         | Guitar Hero: M  
    • 4  | Sad But True                  | Guitar Hero: M  
    • 4  | Frantic                       | Guitar Hero: M  
    • 4  | The Thing That Should Not Be  | Guitar Hero: M  
    • 5  | Armed And Ready               | Guitar Hero: M  
    • 5  | Orion                         | Guitar Hero: M  
    • 5  | Beautiful Mourning            | Guitar Hero: M  
    • 5  | Fade To Black                 | Guitar Hero: M  
    • 5  | The Black River               | Guitar Hero: M  
    • 6  | Ace Of Spades                 | Guitar Hero: M  
    • 6  | War Inside My Head            | Guitar Hero: M  
    • 6  | Wherever I May Roam           | Guitar Hero: M  
    • 6  | Am I Evil                     | Guitar Hero: M  
    • 6  | The Shortest Straw            | Guitar Hero: M  
    • 7  | Creeping Death                | Guitar Hero: M  
    • 7  | Seek and Destroy              | Guitar Hero: M  
    • 7  | Battery                       | Guitar Hero: M  
    • 7  | Mercyful Fate                 | Guitar Hero: M  
    • 7  | Welcome Home (Sanitarium)     | Guitar Hero: M  
    • 8  | Master Of Puppets             | Guitar Hero: M  
    • 8  | Hit The Lights                | Guitar Hero: M  
    • 8  | Evil                          | Guitar Hero: M  
    • 8  | Whiplash                      | Guitar Hero: M  
    • 9  | Fight Fire With Fire          | Guitar Hero: M  
    • 9  | All Nightmare Long            | Guitar Hero: M  
    • 9  | Disposable Heroes             | Guitar Hero: M  
    • 10 | War Ensemble                  | Guitar Hero: M  
    • 10 | Dyer's Eve                    | Guitar Hero: M  
    • 10 | One                           | Guitar Hero: M  
