    • 1  | I Love Rock N' Roll                 | Guitar Hero: SH 
    • 1  | Heart-Shaped Box                    | Guitar Hero: SH 
    • 1  | Rock and Roll All Night             | Guitar Hero: SH 
    • 1  | Killer Queen                        | Guitar Hero: SH 
    • 1  | Hey You                             | Guitar Hero: SH 
    • 1  | Stellar                             | Guitar Hero: SH 
    • 1  | Message In A Bottle                 | Guitar Hero: SH 
    • 1  | Unsung                              | Guitar Hero: SH 
    • 1  | More Than A Feeling                 | Guitar Hero: SH 
    • 1  | Lay Down                            | Guitar Hero: SH 
    • 2  | Smoke On The Water                  | Guitar Hero: SH 
    • 2  | Take Me Out                         | Guitar Hero: SH 
    • 2  | Hit Me With Your Best Shot          | Guitar Hero: SH 
    • 2  | Woman                               | Guitar Hero: SH 
    • 3  | Monkey Wrench                       | Guitar Hero: SH 
    • 3  | Shout At The Devil                  | Guitar Hero: SH 
    • 3  | Cherry Pie                          | Guitar Hero: SH 
    • 3  | Them Bones                          | Guitar Hero: SH 
    • 3  | Take It Off                         | Guitar Hero: SH 
    • 4  | Barracuda                           | Guitar Hero: SH 
    • 4  | Thunderkiss '65                     | Guitar Hero: SH 
    • 4  | No One Knows                        | Guitar Hero: SH 
    • 4  | Freya                               | Guitar Hero: SH 
    • 4  | Trippin' On A Hole In A Paper Heart | Guitar Hero: SH 
    • 5  | Godzilla                            | Guitar Hero: SH 
    • 5  | Carry On Wayward Son                | Guitar Hero: SH 
    • 5  | Laid To Rest                        | Guitar Hero: SH 
    • 5  | Nothin' But A Good Time             | Guitar Hero: SH 
    • 6  | Back In The Saddle                  | Guitar Hero: SH 
    • 6  | Stop!                               | Guitar Hero: SH 
    • 6  | Killing In The Name                 | Guitar Hero: SH 
    • 6  | Round And Round                     | Guitar Hero: SH 
    • 6  | I Wanna Rock                        | Guitar Hero: SH 
    • 7  | YYZ                                 | Guitar Hero: SH 
    • 7  | Mother                              | Guitar Hero: SH 
    • 7  | Beast And The Harlot                | Guitar Hero: SH 
    • 7  | Bark At The Moon                    | Guitar Hero: SH 
    • 7  | Miss Murder                         | Guitar Hero: SH 
    • 8  | Caught In A Mosh                    | Guitar Hero: SH 
    • 8  | The Trooper                         | Guitar Hero: SH 
    • 8  | Electric Eye                        | Guitar Hero: SH 
    • 8  | Cult Of Personality                 | Guitar Hero: SH 
    • 8  | Cowboys From Hell                   | Guitar Hero: SH 
    • 9  | Free Bird                           | Guitar Hero: SH 
    • 9  | Raining Blood                       | Guitar Hero: SH 
    • 10 | Psychobilly Freakout                | Guitar Hero: SH 
    • 10 | Play With Me                        | Guitar Hero: SH 
    • 10 | Through the Fire and Flames         | Guitar Hero: SH 
