    • 1  | Stacy's Mom                  | Guitar Hero: VH 
    • 1  | Jamie's Cryin'               | Guitar Hero: VH 
    • 1  | Safe European Home           | Guitar Hero: VH 
    • 1  | Double Vision                | Guitar Hero: VH 
    • 1  | White Wedding (Part 1)       | Guitar Hero: VH 
    • 1  | First Date                   | Guitar Hero: VH 
    • 1  | Pretty Fly (For A White Guy) | Guitar Hero: VH 
    • 1  | Dance The Night Away         | Guitar Hero: VH 
    • 1  | Runnin' With The Devil       | Guitar Hero: VH 
    • 2  | Dope Nose                    | Guitar Hero: VH 
    • 2  | Semi-Charmed Life            | Guitar Hero: VH 
    • 2  | Ain't Talkin' 'Bout Love     | Guitar Hero: VH 
    • 2  | Intruder(Oh) Pretty Woman    | Guitar Hero: VH 
    • 2  | Cathedral                    | Guitar Hero: VH 
    • 3  | Sick, Sick, Sick             | Guitar Hero: VH 
    • 3  | Pain                         | Guitar Hero: VH 
    • 3  | Atomic Punk                  | Guitar Hero: VH 
    • 3  | Space Truckin'               | Guitar Hero: VH 
    • 3  | The End Of Heartache         | Guitar Hero: VH 
    • 4  | Unchained                    | Guitar Hero: VH 
    • 4  | Rock And Roll Is Dead        | Guitar Hero: VH 
    • 4  | I Want It All                | Guitar Hero: VH 
    • 4  | Best of You                  | Guitar Hero: VH 
    • 5  | So This Is Love              | Guitar Hero: VH 
    • 5  | The Takedown                 | Guitar Hero: VH 
    • 5  | Master Exploder              | Guitar Hero: VH 
    • 5  | Beautiful Girls              | Guitar Hero: VH 
    • 5  | Come To Life                 | Guitar Hero: VH 
    • 6  | Loss Of Control              | Guitar Hero: VH 
    • 6  | Everybody Wants Some!!       | Guitar Hero: VH 
    • 6  | Mean Street                  | Guitar Hero: VH 
    • 6  | Feel Your Love Tonight       | Guitar Hero: VH 
    • 7  | Jump                         | Guitar Hero: VH 
    • 7  | Panama                       | Guitar Hero: VH 
    • 7  | Hang 'Em High                | Guitar Hero: VH 
    • 7  | Painkiller                   | Guitar Hero: VH 
    • 7  | Somebody Get Me A Doctor     | Guitar Hero: VH 
    • 8  | Ice Cream Man                | Guitar Hero: VH 
    • 8  | And The Cradle Will Rock     | Guitar Hero: VH 
    • 8  | Hear About It Later          | Guitar Hero: VH 
    • 8  | Little Guitars               | Guitar Hero: VH 
    • 8  | Romeo Delight                | Guitar Hero: VH 
    • 9  | You Really Got Me            | Guitar Hero: VH 
    • 9  | Hot For Teacher              | Guitar Hero: VH 
    • 10 | Spanish Fly                  | Guitar Hero: VH 
    • 10 | Eruption                     | Guitar Hero: VH 
    • 10 | I'm The One                  | Guitar Hero: VH 
