    • 1  | What I've Done                    | Guitar Hero: WT 
    • 1  | Monsoon                           | Guitar Hero: WT 
    • 1  | Vinternoll2                       | Guitar Hero: WT 
    • 1  | The One I Love                    | Guitar Hero: WT 
    • 1  | Obstacle 1                        | Guitar Hero: WT 
    • 1  | About A Girl (Unplugged Live)     | Guitar Hero: WT 
    • 1  | Today                             | Guitar Hero: WT 
    • 1  | Beautiful Disaster                | Guitar Hero: WT 
    • 1  | Float On                          | Guitar Hero: WT 
    • 1  | Rooftops (A Liberation Broadcast) | Guitar Hero: WT 
    • 1  | Up Around The Bend                | Guitar Hero: WT 
    • 1  | Band On The Run                   | Guitar Hero: WT 
    • 1  | Nuvole e Lenzuola                 | Guitar Hero: WT 
    • 1  | Freak On A Leash                  | Guitar Hero: WT 
    • 1  | Hail To The Freaks                | Guitar Hero: WT 
    • 1  | American Woman                    | Guitar Hero: WT 
    • 1  | Some Might Say                    | Guitar Hero: WT 
    • 2  | Hey Man, Nice Shot                | Guitar Hero: WT 
    • 2  | The Joker                         | Guitar Hero: WT 
    • 2  | Hotel California                  | Guitar Hero: WT 
    • 2  | You're Gonna Say Yeah!            | Guitar Hero: WT 
    • 2  | Misery Business                   | Guitar Hero: WT 
    • 2  | Eye Of The Tiger                  | Guitar Hero: WT 
    • 2  | Everlong                          | Guitar Hero: WT 
    • 2  | Aggro                             | Guitar Hero: WT 
    • 2  | The Wind Cries Mary               | Guitar Hero: WT 
    • 3  | Re-Education (Through Labor)      | Guitar Hero: WT 
    • 3  | Dammit (Growing Up)               | Guitar Hero: WT 
    • 3  | Too Much, Too Young, Too Fast     | Guitar Hero: WT 
    • 3  | Shiver                            | Guitar Hero: WT 
    • 3  | Pretty Vacant                     | Guitar Hero: WT 
    • 3  | One Armed Scissor                 | Guitar Hero: WT 
    • 3  | Good God                          | Guitar Hero: WT 
    • 3  | Weapon Of Choice                  | Guitar Hero: WT 
    • 4  | Go Your Own Way                   | Guitar Hero: WT 
    • 4  | One Way Or Another                | Guitar Hero: WT 
    • 4  | Livin' On A Prayer                | Guitar Hero: WT 
    • 4  | Hollywood Nights                  | Guitar Hero: WT 
    • 4  | Santeria                          | Guitar Hero: WT 
    • 4  | Ramblin' Man                      | Guitar Hero: WT 
    • 4  | The Kill                          | Guitar Hero: WT 
    • 4  | Schism                            | Guitar Hero: WT 
    • 4  | Escuela De Calor                  | Guitar Hero: WT 
    • 5  | Mountain Song                     | Guitar Hero: WT 
    • 5  | On The Road Again (Live)          | Guitar Hero: WT 
    • 5  | Toy Boy                           | Guitar Hero: WT 
    • 5  | Our Truth                         | Guitar Hero: WT 
    • 5  | Parabola                          | Guitar Hero: WT 
    • 5  | Kick Out The Jams                 | Guitar Hero: WT 
    • 5  | Are You Gonna Go My Way           | Guitar Hero: WT 
    • 5  | Lazy Eye                          | Guitar Hero: WT 
    • 6  | Feel The Pain                     | Guitar Hero: WT 
    • 6  | Antisocial                        | Guitar Hero: WT 
    • 6  | Love Spreads                      | Guitar Hero: WT 
    • 6  | The Middle                        | Guitar Hero: WT 
    • 6  | Spiderwebs                        | Guitar Hero: WT 
    • 6  | Heartbreaker                      | Guitar Hero: WT 
    • 6  | La Bamba                          | Guitar Hero: WT 
    • 6  | Do It Again                       | Guitar Hero: WT 
    • 6  | Rebel Yell                        | Guitar Hero: WT 
    • 7  | Vicarious                         | Guitar Hero: WT 
    • 7  | Demolition Man (Live)             | Guitar Hero: WT 
    • 7  | L'Via L'Viaquez                   | Guitar Hero: WT 
    • 7  | Love Me Two Times                 | Guitar Hero: WT 
    • 7  | Prisoner Of Society               | Guitar Hero: WT 
    • 7  | Stillborn                         | Guitar Hero: WT 
    • 7  | Never Too Late                    | Guitar Hero: WT 
    • 7  | Assassin                          | Guitar Hero: WT 
    • 8  | Soul Doubt                        | Guitar Hero: WT 
    • 8  | Purple Haze (Live at San Diego)   | Guitar Hero: WT 
    • 8  | Trapped Under Ice                 | Guitar Hero: WT 
    • 8  | Sweet Home Alabama (Live)         | Guitar Hero: WT 
    • 8  | Stranglehold                      | Guitar Hero: WT 
    • 8  | B.Y.O.B                           | Guitar Hero: WT 
    • 8  | Beat It                           | Guitar Hero: WT 
    • 8  | No Sleep Till Brooklyn            | Guitar Hero: WT 
    • 8  | Ted Nugent Guitar Duel (Career)   | Guitar Hero: WT 
    • 9  | Scream Aim Fire                   | Guitar Hero: WT 
    • 9  | Crazy Train                       | Guitar Hero: WT 
    • 9  | Pull Me Under                     | Guitar Hero: WT 
    • 9  | Overkill                          | Guitar Hero: WT 
    • 9  | Mr. Crowley                       | Guitar Hero: WT 
    • 10 | Love Removal Machine              | Guitar Hero: WT 
    • 10 | Zakk Wylde Guitar Duel (Career)   | Guitar Hero: WT 
    • 10 | Hot For Teacher                   | Guitar Hero: WT 
    • 10 | Satch Boogie                      | Guitar Hero: WT 
