    • 1  | Hey                                     | Guitar Hero 1   
    • 1  | 2112 Pt. 5 - Oracle The Dream           | Guitar Hero 6   
    • 1  | They Say                                | Guitar Hero 5   
    • 1  | What I've Done                          | Guitar Hero: WT 
    • 1  | Closer                                  | Guitar Hero 3   
    • 1  | Heart Shaped Box                        | Guitar Hero 2   
    • 1  | Nothing Else Matters                    | Guitar Hero: M  
    • 1  | I Love Rock N' Roll                     | Guitar Hero: SH 
    • 1  | Stacy's Mom                             | Guitar Hero: VH 
    • 1  | How You Remind Me                       | Guitar Hero 6   
    • 1  | All Along The Watchtower                | Guitar Hero 5   
    • 1  | Monsoon                                 | Guitar Hero: WT 
    • 1  | Dream Police                            | Guitar Hero: A  
    • 1  | Metal Heavy Lady                        | Guitar Hero 3   
    • 1  | Seven Nation Army                       | Guitar Hero 6   
    • 1  | We Got The Beat                         | Guitar Hero: 80s
    • 1  | In My Place                             | Guitar Hero 5   
    • 1  | Vinternoll2                             | Guitar Hero: WT 
    • 1  | I Love Rock 'n' Roll                    | Guitar Hero 1   
    • 1  | Turn the Page (Live)                    | Guitar Hero: M  
    • 1  | Heart-Shaped Box                        | Guitar Hero: SH 
    • 1  | Jamie's Cryin'                          | Guitar Hero: VH 
    • 1  | Sabotage                                | Guitar Hero 3   
    • 1  | Bleed It Out                            | Guitar Hero 6   
    • 1  | Song 2                                  | Guitar Hero 5   
    • 1  | The One I Love                          | Guitar Hero: WT 
    • 1  | Dream On                                | Guitar Hero: A  
    • 1  | Again                                   | Guitar Hero 6   
    • 1  | Generation Rock                         | Guitar Hero 3   
    • 1  | Gamma Ray                               | Guitar Hero 5   
    • 1  | Obstacle 1                              | Guitar Hero: WT 
    • 1  | Mother Of Mercy                         | Guitar Hero: M  
    • 1  | Stellar                                 | Guitar Hero 1   
    • 1  | Rock and Roll All Night                 | Guitar Hero: SH 
    • 1  | Safe European Home                      | Guitar Hero: VH 
    • 1  | 2112 Pt. 2 - The Temples of Syrinx      | Guitar Hero 6   
    • 1  | The Warrior                             | Guitar Hero: 80s
    • 1  | Ring Of Fire                            | Guitar Hero 5   
    • 1  | About A Girl (Unplugged Live)           | Guitar Hero: WT 
    • 1  | When You Were Young                     | Guitar Hero 3   
    • 1  | She Sells Sanctuary                     | Guitar Hero: A  
    • 1  | Lasso                                   | Guitar Hero 6   
    • 1  | Behind The Mask                         | Guitar Hero 1   
    • 1  | For Whom The Bell Tolls                 | Guitar Hero: M  
    • 1  | Lithium (Live)                          | Guitar Hero 5   
    • 1  | Killer Queen                            | Guitar Hero: SH 
    • 1  | Today                                   | Guitar Hero: WT 
    • 1  | Double Vision                           | Guitar Hero: VH 
    • 1  | Radio Song                              | Guitar Hero 3   
    • 1  | Fortunate Son                           | Guitar Hero 6   
    • 1  | Cigarettes, Wedding Bands               | Guitar Hero 5   
    • 1  | Beautiful Disaster                      | Guitar Hero: WT 
    • 1  | Losing my Religion                      | Guitar Hero 6   
    • 1  | Draw The Line                           | Guitar Hero: A  
    • 1  | Mississippi Queen                       | Guitar Hero 3   
    • 1  | Shakin'                                 | Guitar Hero: 80s
    • 1  | I Wanna Be Sedated                      | Guitar Hero 1   
    • 1  | Hey You                                 | Guitar Hero: SH 
    • 1  | Hurts So Good                           | Guitar Hero 5   
    • 1  | White Wedding (Part 1)                  | Guitar Hero: VH 
    • 1  | Float On                                | Guitar Hero: WT 
    • 1  | Listen to Her Heart                     | Guitar Hero 6   
    • 1  | Slow Ride                               | Guitar Hero 3   
    • 1  | Why Bother                              | Guitar Hero 5   
    • 1  | Get Free                                | Guitar Hero 6   
    • 1  | Rooftops (A Liberation Broadcast)       | Guitar Hero: WT 
    • 1  | Sail Your Ship By                       | Guitar Hero 1   
    • 1  | Stellar                                 | Guitar Hero: SH 
    • 1  | First Date                              | Guitar Hero: VH 
    • 1  | Ruby                                    | Guitar Hero 3   
    • 1  | Interstate Love Song                    | Guitar Hero 6   
    • 1  | Only Happy When It Rains                | Guitar Hero 5   
    • 1  | Up Around The Bend                      | Guitar Hero: WT 
    • 1  | Motivation                              | Guitar Hero 6   
    • 1  | Sowing Season (Yeah)                    | Guitar Hero 5   
    • 1  | Band On The Run                         | Guitar Hero: WT 
    • 1  | Eureka! I Found Love                    | Guitar Hero 1   
    • 1  | My Name is Jonas                        | Guitar Hero 3   
    • 1  | Pretty Fly (For A White Guy)            | Guitar Hero: VH 
    • 1  | Lunatic Fringe                          | Guitar Hero 6   
    • 1  | Under Pressure                          | Guitar Hero 5   
    • 1  | Bulls On Parade                         | Guitar Hero 3   
    • 1  | No More Mr. Nice Guy                    | Guitar Hero 6   
    • 1  | The Story Of My Love                    | Guitar Hero 1   
    • 1  | Plug In Baby                            | Guitar Hero 5   
    • 1  | Dance The Night Away                    | Guitar Hero: VH 
    • 1  | Story Of My Life                        | Guitar Hero 3   
    • 1  | Fascination Street                      | Guitar Hero 6   
    • 1  | Sex On Fire                             | Guitar Hero 5   
    • 1  | 2112 Pt. 6 - Soliloquy                  | Guitar Hero 6   
    • 1  | Unsung                                  | Guitar Hero 1   
    • 1  | Feel Good Inc                           | Guitar Hero 5   
    • 1  | I Know What I Am                        | Guitar Hero 6   
    • 1  | You & Me                                | Guitar Hero 5   
    • 1  | Killer Queen                            | Guitar Hero 1   
    • 2  | Mr. Fix-It                              | Guitar Hero 2   
    • 2  | Parasite                                | Guitar Hero 2   
    • 2  | Radium Eyes                             | Guitar Hero 2   
    • 2  | Soy Bomb                                | Guitar Hero 2   
    • 2  | Can't You Hear Me Knocking              | Guitar Hero 2   
    • 2  | The Unforgiven                          | Guitar Hero: M  
    • 2  | The X-Stream                            | Guitar Hero 2   
    • 2  | Complete Control                        | Guitar Hero: A  
    • 2  | No Excuses                              | Guitar Hero: M  
    • 2  | Surrender                               | Guitar Hero 2   
    • 2  | Turning Japanese                        | Guitar Hero: 80s
    • 2  | Yes We Can                              | Guitar Hero 2   
    • 2  | Stacked Actors                          | Guitar Hero: M  
    • 2  | Message In A Bottle                     | Guitar Hero: SH 
    • 2  | Sex Type Thing                          | Guitar Hero: A  
    • 2  | Nuvole e Lenzuola                       | Guitar Hero: WT 
    • 2  | Monkey Wrench                           | Guitar Hero 2   
    • 2  | Freak On A Leash                        | Guitar Hero: WT 
    • 2  | Only A Lad                              | Guitar Hero: 80s
    • 2  | Unsung                                  | Guitar Hero: SH 
    • 2  | Make It                                 | Guitar Hero: A  
    • 2  | Red Lottery                             | Guitar Hero 2   
    • 2  | Hail To The Freaks                      | Guitar Hero: WT 
    • 2  | Lay Down                                | Guitar Hero 3   
    • 2  | Laughtrack                              | Guitar Hero 2   
    • 2  | More Than A Feeling                     | Guitar Hero: SH 
    • 2  | American Woman                          | Guitar Hero: WT 
    • 2  | Runnin' With The Devil                  | Guitar Hero: VH 
    • 2  | Uncle Salty                             | Guitar Hero: A  
    • 2  | Balls To The Wall                       | Guitar Hero: 80s
    • 2  | Can't Be Saved                          | Guitar Hero 3   
    • 2  | Some Might Say                          | Guitar Hero: WT 
    • 2  | John The Fisherman                      | Guitar Hero 2   
    • 2  | Cherry Bomb                             | Guitar Hero 6   
    • 2  | Lay Down                                | Guitar Hero: SH 
    • 2  | Ex-Girlfriend                           | Guitar Hero 5   
    • 2  | Dope Nose                               | Guitar Hero: VH 
    • 2  | Hey Man, Nice Shot                      | Guitar Hero: WT 
    • 2  | Talk Dirty To Me                        | Guitar Hero 3   
    • 2  | Waidmanns Heil                          | Guitar Hero 6   
    • 2  | All The Young Dudes                     | Guitar Hero: A  
    • 2  | Shout It Out Loud                       | Guitar Hero 5   
    • 2  | Fat Lip                                 | Guitar Hero 1   
    • 2  | We're Not Gonna Take it                 | Guitar Hero 6   
    • 2  | The Joker                               | Guitar Hero: WT 
    • 2  | Reptilia                                | Guitar Hero 3   
    • 2  | Smoke On The Water                      | Guitar Hero: SH 
    • 2  | Lonely Is The Night                     | Guitar Hero: 80s
    • 2  | Semi-Charmed Life                       | Guitar Hero: VH 
    • 2  | Comedown                                | Guitar Hero 5   
    • 2  | What Do I Get                           | Guitar Hero 6   
    • 2  | Hotel California                        | Guitar Hero: WT 
    • 2  | Anarchy In The UK                       | Guitar Hero 3   
    • 2  | Pink                                    | Guitar Hero: A  
    • 2  | Call Out                                | Guitar Hero 1   
    • 2  | Never Miss A Beat                       | Guitar Hero 5   
    • 2  | Theme from Spiderman                    | Guitar Hero 6   
    • 2  | You're Gonna Say Yeah!                  | Guitar Hero: WT 
    • 2  | Ain't Talkin' 'Bout Love                | Guitar Hero: VH 
    • 2  | Miss Murder                             | Guitar Hero 3   
    • 2  | Machinehead                             | Guitar Hero 6   
    • 2  | Hungry Like The Wolf                    | Guitar Hero 5   
    • 2  | Misery Business                         | Guitar Hero: WT 
    • 2  | Even Rats                               | Guitar Hero 1   
    • 2  | I Ran (So Far Away)                     | Guitar Hero: 80s
    • 2  | No Suprize                              | Guitar Hero: A  
    • 2  | Uprising                                | Guitar Hero 6   
    • 2  | A-Punk                                  | Guitar Hero 5   
    • 2  | Sunshine Of Your Love                   | Guitar Hero 3   
    • 2  | Eye Of The Tiger                        | Guitar Hero: WT 
    • 2  | Intruder(Oh) Pretty Woman               | Guitar Hero: VH 
    • 2  | I'm Not Okay (I Promise)                | Guitar Hero 6   
    • 2  | Steady As She Goes                      | Guitar Hero 5   
    • 2  | Everlong                                | Guitar Hero: WT 
    • 2  | Hey You                                 | Guitar Hero 1   
    • 2  | She Bangs The Drums                     | Guitar Hero 3   
    • 2  | Rockin' in the Free World               | Guitar Hero 6   
    • 2  | Personality Crisis                      | Guitar Hero: A  
    • 2  | All the Pretty Faces                    | Guitar Hero 5   
    • 2  | Aggro                                   | Guitar Hero: WT 
    • 2  | Heat Of The Moment                      | Guitar Hero: 80s
    • 2  | Bohemian Rhapsody                       | Guitar Hero 6   
    • 2  | More Than A Feeling                     | Guitar Hero 1   
    • 2  | Kings And Queens                        | Guitar Hero: A  
    • 2  | Higher Ground                           | Guitar Hero 1   
    • 3  | The Memory Remains                      | Guitar Hero: M  
    • 3  | King Nothing                            | Guitar Hero: M  
    • 3  | The Boys Are Back In Town               | Guitar Hero: M  
    • 3  | Cherry Pie                              | Guitar Hero 2   
    • 3  | Message In A Bottle                     | Guitar Hero 2   
    • 3  | Take Me Out                             | Guitar Hero: SH 
    • 3  | The New Black                           | Guitar Hero 2   
    • 3  | Strutter                                | Guitar Hero 2   
    • 3  | Hit Me With Your Best Shot              | Guitar Hero: SH 
    • 3  | Elephant Bones                          | Guitar Hero 2   
    • 3  | Woman                                   | Guitar Hero: SH 
    • 3  | Trippin' On A Hole In A Paper Heart     | Guitar Hero 2   
    • 3  | Cathedral                               | Guitar Hero: VH 
    • 3  | School's Out                            | Guitar Hero 3   
    • 3  | Fame                                    | Guitar Hero 5   
    • 3  | The Wind Cries Mary                     | Guitar Hero: WT 
    • 3  | Self Esteem                             | Guitar Hero 6   
    • 3  | Collide                                 | Guitar Hero 2   
    • 3  | Monkey Wrench                           | Guitar Hero: SH 
    • 3  | Paint It Black                          | Guitar Hero 3   
    • 3  | L.A                                     | Guitar Hero 5   
    • 3  | Sick, Sick, Sick                        | Guitar Hero: VH 
    • 3  | Re-Education (Through Labor)            | Guitar Hero: WT 
    • 3  | Black Rain                              | Guitar Hero 6   
    • 3  | Hit Me With Your Best Shot              | Guitar Hero 3   
    • 3  | Incinerate                              | Guitar Hero 5   
    • 3  | Dammit (Growing Up)                     | Guitar Hero: WT 
    • 3  | Los Angeles                             | Guitar Hero: 80s
    • 3  | No Way Back                             | Guitar Hero 6   
    • 3  | Shout At The Devil                      | Guitar Hero: SH 
    • 3  | Pain                                    | Guitar Hero: VH 
    • 3  | Bullet With Butterfly Wings             | Guitar Hero 5   
    • 3  | Talk Talkin'                            | Guitar Hero: A  
    • 3  | Paranoid                                | Guitar Hero 3   
    • 3  | Stray Cat Blues                         | Guitar Hero 6   
    • 3  | Too Much, Too Young, Too Fast           | Guitar Hero: WT 
    • 3  | Take Me Out                             | Guitar Hero 1   
    • 3  | Smells Like Teen Spirit                 | Guitar Hero 5   
    • 3  | Cherry Pie                              | Guitar Hero: SH 
    • 3  | The Feel Good Drag                      | Guitar Hero 6   
    • 3  | Even Flow                               | Guitar Hero 3   
    • 3  | Shiver                                  | Guitar Hero: WT 
    • 3  | Atomic Punk                             | Guitar Hero: VH 
    • 3  | Kryptonite                              | Guitar Hero 5   
    • 3  | Graduate                                | Guitar Hero 6   
    • 3  | Rag Doll                                | Guitar Hero: A  
    • 3  | Bathroom Wall                           | Guitar Hero: 80s
    • 3  | Sharp Dressed Man                       | Guitar Hero 1   
    • 3  | Pretty Vacant                           | Guitar Hero: WT 
    • 3  | Minus Celsius                           | Guitar Hero 3   
    • 3  | Them Bones                              | Guitar Hero: SH 
    • 3  | Love Gun                                | Guitar Hero 6   
    • 3  | Make It Wit Chu                         | Guitar Hero 5   
    • 3  | One Armed Scissor                       | Guitar Hero: WT 
    • 3  | Space Truckin'                          | Guitar Hero: VH 
    • 3  | Barracuda                               | Guitar Hero 3   
